execution_id,classification_time,load_time,reduce_time,transform_time,reduce_on,classifier,reducer,transforms,number runs,reducer_datasets,train_datasets,test_datasets,sensors used,scaler,umap components,accuracy (mean),accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score micro (mean),f1-score micro (std),f1-score weighted (mean),f1-score weighted (std)
001301,0.6161644458770752,4.15823769569397,77.12292838096619,0.8357810974121094,all,svm,umap-4-all,with_fft_all.0,5,"motionsense.train, motionsense.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",minmax_scaler,4,0.5138888888888888,0.0,0.47418878543971904,0.0,0.5138888888888888,0.0,0.47418878543971904,0.0
000160,2.3936662673950195,5.062785863876343,43.711013317108154,0.02469038963317871,all,svm,umap-2-all,no_transform.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"gyro-x, gyro-y, gyro-z",std_scaler,2,0.644927536231884,0.0,0.5886112147261338,0.0,0.644927536231884,0.0,0.5886112147261336,0.0
004743,4.311427354812622,3.7470333576202393,125.66129159927368,0.40488576889038086,all,svm,umap-15-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",no_scaler,15,0.699623352165725,0.0,0.6819211605065257,0.0,0.699623352165725,0.0,0.6819211605065257,0.0
000341,1.126906156539917,4.330063819885254,55.76968550682068,0.36239171028137207,all,svm,umap-2-all,with_fft_all.0,5,"uci.train, uci.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z",minmax_scaler,2,0.45138888888888895,5.551115123125783e-17,0.332378266885076,0.0,0.45138888888888895,5.551115123125783e-17,0.332378266885076,0.0
001717,5.030768632888794,3.70735764503479,61.642321825027466,0.303117036819458,all,randomforest-100,umap-5-all,with_fft_all.0,5,"uci.train, uci.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z",std_scaler,5,0.6402777777777777,0.008098544298396272,0.6341430559906762,0.009214607007219227,0.6402777777777777,0.008098544298396272,0.6341430559906762,0.009214607007219237
005649,18.50517725944519,4.175934553146362,253.63442707061768,1.568253993988037,all,randomforest-100,umap-180-all,with_fft_all.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",no_scaler,180,0.8075362318840581,0.00529729474854989,0.8042287686368402,0.005585358227740388,0.8075362318840581,0.00529729474854989,0.8042287686368402,0.0055853582277404215
000007,3.0289196968078613,3.8620293140411377,81.97153425216675,0.048053741455078125,all,randomforest-100,umap-2-all,no_transform.0,5,"uci.train, uci.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",std_scaler,2,0.4833333333333334,0.012108052620946327,0.47567587849190096,0.010978907932846236,0.4833333333333334,0.012108052620946327,0.47567587849190096,0.010978907932846187
003698,14.78951120376587,5.962662696838379,162.4129137992859,0.8516416549682617,all,randomforest-100,umap-9-all,with_fft_all.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",minmax_scaler,9,0.6851224105461393,0.0028311292614638037,0.6741484801937306,0.003036501488004713,0.6851224105461393,0.0028311292614638037,0.6741484801937307,0.003036501488004765
004682,5.228546142578125,4.596477746963501,94.7160108089447,0.4272160530090332,all,randomforest-100,umap-15-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z",minmax_scaler,15,0.6565217391304348,0.006080051293740023,0.6560920830065375,0.005984390255206955,0.6565217391304348,0.006080051293740023,0.6560920830065375,0.005984390255207029
004043,3.377605676651001,3.511617422103882,87.3131513595581,0.019484996795654297,all,svm,umap-10-all,no_transform.0,5,"kuhar.train, kuhar.validation","uci.train, uci.validation",uci.test,"gyro-x, gyro-y, gyro-z",minmax_scaler,10,0.6550724637681159,0.0,0.6398265623332812,0.0,0.6550724637681159,0.0,0.6398265623332812,0.0
004009,4.355921506881714,4.42583966255188,96.61119747161865,0.04177236557006836,all,svm,umap-10-all,no_transform.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",std_scaler,10,0.6760828625235404,0.0,0.6668727753832581,0.0,0.6760828625235404,0.0,0.6668727753832581,0.0
000933,1.3221347332000732,4.644863128662109,99.53908824920654,0.7370665073394775,all,knn-5,umap-3-all,with_fft_all.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",no_scaler,3,0.7259887005649718,0.0,0.7243067913378325,0.0,0.7259887005649718,0.0,0.7243067913378324,0.0
001510,9.480040788650513,5.218707323074341,113.64254975318909,0.03276968002319336,all,randomforest-100,umap-5-all,no_transform.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",std_scaler,5,0.6259887005649717,0.004816087326758728,0.6256089994884235,0.0049295418919194905,0.6259887005649717,0.004816087326758728,0.6256089994884235,0.004929541891919501
003431,14.483936071395874,4.67338228225708,142.7113058567047,0.08029007911682129,all,randomforest-100,umap-9-all,no_transform.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",minmax_scaler,9,0.6058380414312617,0.0066475941976356775,0.6033127966427158,0.006815493811857984,0.6058380414312617,0.0066475941976356775,0.6033127966427155,0.006815493811857973
001984,5.126325368881226,4.19050407409668,63.20028781890869,0.03484940528869629,all,randomforest-100,umap-6-all,no_transform.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",std_scaler,6,0.6653483992467043,0.007452489241962128,0.6550628542878456,0.007470787583407445,0.6653483992467043,0.007452489241962128,0.6550628542878456,0.007470787583407394
000831,1.3340051174163818,5.074874639511108,82.76954650878906,0.38484883308410645,all,svm,umap-3-all,with_fft_all.0,5,"motionsense.train, motionsense.validation","kuhar.train, kuhar.validation",kuhar.test,"gyro-x, gyro-y, gyro-z",no_scaler,3,0.4305555555555555,5.551115123125783e-17,0.38925702811244983,0.0,0.4305555555555555,5.551115123125783e-17,0.38925702811244983,0.0
001985,6.223655700683594,5.368431091308594,64.45370864868164,0.04655885696411133,all,randomforest-100,umap-6-all,no_transform.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",minmax_scaler,6,0.6691148775894538,0.002568395799809039,0.659818396076821,0.0032469074623866345,0.6691148775894538,0.002568395799809039,0.659818396076821,0.0032469074623866345
000075,4.960741758346558,3.8602046966552734,106.29879236221313,0.035195350646972656,all,randomforest-100,umap-2-all,no_transform.0,5,"motionsense.train, motionsense.validation","uci.train, uci.validation",uci.test,"gyro-x, gyro-y, gyro-z",no_scaler,2,0.4913043478260869,0.00601056271110948,0.49156708210391875,0.006030218953759045,0.4913043478260869,0.00601056271110948,0.49156708210391875,0.006030218953759063
005394,36.43482494354248,4.2126641273498535,378.6687824726105,0.037528276443481445,all,randomforest-100,umap-180-all,no_transform.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",no_scaler,180,0.8037664783427495,0.004236241762411297,0.7994143578527733,0.004374758923839621,0.8037664783427495,0.004236241762411297,0.7994143578527733,0.004374758923839643
004023,4.5251617431640625,4.12701678276062,87.82620692253113,0.058579206466674805,all,svm,umap-10-all,no_transform.0,5,"kuhar.train, kuhar.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",no_scaler,10,0.41014492753623183,5.551115123125783e-17,0.35056726111384584,0.0,0.41014492753623183,0.0,0.35056726111384584,0.0
000342,0.504833459854126,5.201261281967163,22.969346046447754,0.29170703887939453,all,svm,umap-2-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","kuhar.train, kuhar.validation",kuhar.test,"gyro-x, gyro-y, gyro-z",no_scaler,2,0.8125,0.0,0.8117085295656723,1.1102230246251565e-16,0.8125,0.0,0.8117085295656723,1.1102230246251565e-16
003664,5.883360147476196,4.708704710006714,37.043596506118774,0.5257022380828857,all,randomforest-100,umap-9-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","kuhar.train, kuhar.validation",kuhar.test,"gyro-x, gyro-y, gyro-z",std_scaler,9,0.8472222222222221,0.008784104611578835,0.847569572705045,0.008855342147149572,0.8472222222222221,0.008784104611578835,0.847569572705045,0.008855342147149538
003212,11.728654146194458,4.168928384780884,159.6546711921692,0.8560295104980469,all,randomforest-100,umap-8-all,with_fft_all.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",minmax_scaler,8,0.6958568738229756,0.0025958660550075697,0.6853787086636988,0.0031970552018235313,0.6958568738229756,0.0025958660550075697,0.6853787086636988,0.00319705520182352
