Dataset: KuHar 	 Iteration: 168 	 Time of execution: 121 minutes and 3 seconds
Dataset: KuHar 	 Iteration: 169 	 Time of execution: 122 minutes and 13 seconds
Dataset: KuHar 	 Iteration: 170 	 Time of execution: 123 minutes and 23 seconds
Dataset: KuHar 	 Iteration: 171 	 Time of execution: 124 minutes and 33 seconds
Dataset: KuHar 	 Iteration: 172 	 Time of execution: 125 minutes and 44 seconds
Dataset: KuHar 	 Iteration: 173 	 Time of execution: 126 minutes and 55 seconds
Dataset: KuHar 	 Iteration: 174 	 Time of execution: 128 minutes and 7 seconds
Dataset: KuHar 	 Iteration: 175 	 Time of execution: 129 minutes and 18 seconds
Dataset: KuHar 	 Iteration: 176 	 Time of execution: 130 minutes and 29 seconds
Dataset: KuHar 	 Iteration: 177 	 Time of execution: 131 minutes and 41 seconds
Dataset: KuHar 	 Iteration: 178 	 Time of execution: 132 minutes and 54 seconds
Dataset: KuHar 	 Iteration: 179 	 Time of execution: 134 minutes and 7 seconds
Dataset: KuHar 	 Iteration: 180 	 Time of execution: 134 minutes and 31 seconds
Dataset: RealWorld 	 Iteration: 181 	 Time of execution: 0 minutes and 45 seconds
Dataset: RealWorld 	 Iteration: 182 	 Time of execution: 1 minutes and 8 seconds
Dataset: RealWorld 	 Iteration: 183 	 Time of execution: 1 minutes and 32 seconds
Dataset: RealWorld 	 Iteration: 184 	 Time of execution: 2 minutes and 2 seconds
Dataset: RealWorld 	 Iteration: 185 	 Time of execution: 2 minutes and 33 seconds
Dataset: RealWorld 	 Iteration: 186 	 Time of execution: 3 minutes and 5 seconds
Dataset: RealWorld 	 Iteration: 187 	 Time of execution: 3 minutes and 38 seconds
Dataset: RealWorld 	 Iteration: 188 	 Time of execution: 4 minutes and 14 seconds
Dataset: RealWorld 	 Iteration: 189 	 Time of execution: 4 minutes and 54 seconds
Dataset: RealWorld 	 Iteration: 190 	 Time of execution: 5 minutes and 35 seconds
Dataset: RealWorld 	 Iteration: 191 	 Time of execution: 6 minutes and 17 seconds
Dataset: RealWorld 	 Iteration: 192 	 Time of execution: 7 minutes and 1 seconds
Dataset: RealWorld 	 Iteration: 193 	 Time of execution: 7 minutes and 46 seconds
Dataset: RealWorld 	 Iteration: 194 	 Time of execution: 8 minutes and 31 seconds
Dataset: RealWorld 	 Iteration: 195 	 Time of execution: 9 minutes and 19 seconds
Dataset: RealWorld 	 Iteration: 196 	 Time of execution: 10 minutes and 11 seconds
Dataset: RealWorld 	 Iteration: 197 	 Time of execution: 11 minutes and 5 seconds
Dataset: RealWorld 	 Iteration: 198 	 Time of execution: 12 minutes and 0 seconds
Dataset: RealWorld 	 Iteration: 199 	 Time of execution: 12 minutes and 56 seconds
Dataset: RealWorld 	 Iteration: 200 	 Time of execution: 13 minutes and 53 seconds
Dataset: RealWorld 	 Iteration: 201 	 Time of execution: 14 minutes and 51 seconds
Dataset: RealWorld 	 Iteration: 202 	 Time of execution: 15 minutes and 51 seconds
Dataset: RealWorld 	 Iteration: 203 	 Time of execution: 16 minutes and 52 seconds
Dataset: RealWorld 	 Iteration: 204 	 Time of execution: 17 minutes and 54 seconds
Dataset: RealWorld 	 Iteration: 205 	 Time of execution: 19 minutes and 1 seconds
Dataset: RealWorld 	 Iteration: 206 	 Time of execution: 20 minutes and 10 seconds
Dataset: RealWorld 	 Iteration: 207 	 Time of execution: 21 minutes and 20 seconds
Dataset: RealWorld 	 Iteration: 208 	 Time of execution: 22 minutes and 30 seconds
Dataset: RealWorld 	 Iteration: 209 	 Time of execution: 23 minutes and 44 seconds
Dataset: RealWorld 	 Iteration: 210 	 Time of execution: 24 minutes and 57 seconds
Dataset: RealWorld 	 Iteration: 211 	 Time of execution: 26 minutes and 12 seconds
Dataset: RealWorld 	 Iteration: 212 	 Time of execution: 27 minutes and 25 seconds
Dataset: RealWorld 	 Iteration: 213 	 Time of execution: 28 minutes and 38 seconds
Dataset: RealWorld 	 Iteration: 214 	 Time of execution: 29 minutes and 53 seconds
Dataset: RealWorld 	 Iteration: 215 	 Time of execution: 31 minutes and 8 seconds
Dataset: RealWorld 	 Iteration: 216 	 Time of execution: 32 minutes and 29 seconds
Dataset: RealWorld 	 Iteration: 217 	 Time of execution: 33 minutes and 53 seconds
Dataset: RealWorld 	 Iteration: 218 	 Time of execution: 35 minutes and 17 seconds
Dataset: RealWorld 	 Iteration: 219 	 Time of execution: 36 minutes and 41 seconds
Dataset: RealWorld 	 Iteration: 220 	 Time of execution: 38 minutes and 8 seconds
Dataset: RealWorld 	 Iteration: 221 	 Time of execution: 39 minutes and 35 seconds
Dataset: RealWorld 	 Iteration: 222 	 Time of execution: 41 minutes and 4 seconds
Dataset: RealWorld 	 Iteration: 223 	 Time of execution: 42 minutes and 35 seconds
Dataset: RealWorld 	 Iteration: 224 	 Time of execution: 44 minutes and 6 seconds
Dataset: RealWorld 	 Iteration: 225 	 Time of execution: 45 minutes and 38 seconds
Dataset: RealWorld 	 Iteration: 226 	 Time of execution: 47 minutes and 11 seconds
Dataset: RealWorld 	 Iteration: 227 	 Time of execution: 48 minutes and 45 seconds
Dataset: RealWorld 	 Iteration: 228 	 Time of execution: 50 minutes and 20 seconds
Dataset: RealWorld 	 Iteration: 229 	 Time of execution: 52 minutes and 1 seconds
Dataset: RealWorld 	 Iteration: 230 	 Time of execution: 53 minutes and 43 seconds
Dataset: RealWorld 	 Iteration: 231 	 Time of execution: 55 minutes and 25 seconds
Dataset: RealWorld 	 Iteration: 232 	 Time of execution: 57 minutes and 9 seconds
Dataset: RealWorld 	 Iteration: 233 	 Time of execution: 58 minutes and 54 seconds
Dataset: RealWorld 	 Iteration: 234 	 Time of execution: 60 minutes and 40 seconds
Dataset: RealWorld 	 Iteration: 235 	 Time of execution: 62 minutes and 29 seconds
Dataset: RealWorld 	 Iteration: 236 	 Time of execution: 64 minutes and 20 seconds
Dataset: RealWorld 	 Iteration: 237 	 Time of execution: 66 minutes and 10 seconds
Dataset: RealWorld 	 Iteration: 238 	 Time of execution: 68 minutes and 1 seconds
Dataset: RealWorld 	 Iteration: 239 	 Time of execution: 69 minutes and 53 seconds
Dataset: RealWorld 	 Iteration: 240 	 Time of execution: 71 minutes and 46 seconds
Dataset: RealWorld 	 Iteration: 241 	 Time of execution: 73 minutes and 42 seconds
Dataset: RealWorld 	 Iteration: 242 	 Time of execution: 75 minutes and 37 seconds
Dataset: RealWorld 	 Iteration: 243 	 Time of execution: 77 minutes and 33 seconds
Dataset: RealWorld 	 Iteration: 244 	 Time of execution: 79 minutes and 30 seconds
Dataset: RealWorld 	 Iteration: 245 	 Time of execution: 81 minutes and 27 seconds
Dataset: RealWorld 	 Iteration: 246 	 Time of execution: 83 minutes and 27 seconds
Dataset: RealWorld 	 Iteration: 247 	 Time of execution: 85 minutes and 28 seconds
Dataset: RealWorld 	 Iteration: 248 	 Time of execution: 87 minutes and 28 seconds
Dataset: RealWorld 	 Iteration: 249 	 Time of execution: 89 minutes and 30 seconds
Dataset: RealWorld 	 Iteration: 250 	 Time of execution: 91 minutes and 35 seconds
Dataset: RealWorld 	 Iteration: 251 	 Time of execution: 93 minutes and 39 seconds
Dataset: RealWorld 	 Iteration: 252 	 Time of execution: 95 minutes and 45 seconds
Dataset: RealWorld 	 Iteration: 253 	 Time of execution: 97 minutes and 52 seconds
Dataset: RealWorld 	 Iteration: 254 	 Time of execution: 100 minutes and 0 seconds
Dataset: RealWorld 	 Iteration: 255 	 Time of execution: 102 minutes and 10 seconds
Dataset: RealWorld 	 Iteration: 256 	 Time of execution: 104 minutes and 20 seconds
Dataset: RealWorld 	 Iteration: 257 	 Time of execution: 106 minutes and 33 seconds
Dataset: RealWorld 	 Iteration: 258 	 Time of execution: 108 minutes and 46 seconds
Dataset: RealWorld 	 Iteration: 259 	 Time of execution: 111 minutes and 0 seconds
Dataset: RealWorld 	 Iteration: 260 	 Time of execution: 113 minutes and 15 seconds
Dataset: RealWorld 	 Iteration: 261 	 Time of execution: 115 minutes and 35 seconds
Dataset: RealWorld 	 Iteration: 262 	 Time of execution: 117 minutes and 57 seconds
Dataset: RealWorld 	 Iteration: 263 	 Time of execution: 120 minutes and 19 seconds
Dataset: RealWorld 	 Iteration: 264 	 Time of execution: 122 minutes and 45 seconds
Dataset: RealWorld 	 Iteration: 265 	 Time of execution: 125 minutes and 10 seconds
Dataset: RealWorld 	 Iteration: 266 	 Time of execution: 127 minutes and 36 seconds
