Dataset: KuHar 	 Iteration: 110 	 Time of execution: 72 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 111 	 Time of execution: 74 minutes and 0 seconds
Dataset: KuHar 	 Iteration: 112 	 Time of execution: 75 minutes and 1 seconds
Dataset: KuHar 	 Iteration: 113 	 Time of execution: 76 minutes and 2 seconds
Dataset: KuHar 	 Iteration: 114 	 Time of execution: 77 minutes and 4 seconds
Dataset: KuHar 	 Iteration: 115 	 Time of execution: 78 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 116 	 Time of execution: 79 minutes and 8 seconds
Dataset: KuHar 	 Iteration: 117 	 Time of execution: 80 minutes and 10 seconds
Dataset: KuHar 	 Iteration: 118 	 Time of execution: 81 minutes and 14 seconds
Dataset: KuHar 	 Iteration: 119 	 Time of execution: 82 minutes and 17 seconds
Dataset: KuHar 	 Iteration: 120 	 Time of execution: 83 minutes and 21 seconds
Dataset: KuHar 	 Iteration: 121 	 Time of execution: 84 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 122 	 Time of execution: 85 minutes and 33 seconds
Dataset: KuHar 	 Iteration: 123 	 Time of execution: 86 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 124 	 Time of execution: 87 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 125 	 Time of execution: 88 minutes and 53 seconds
Dataset: KuHar 	 Iteration: 126 	 Time of execution: 90 minutes and 1 seconds
Dataset: KuHar 	 Iteration: 127 	 Time of execution: 91 minutes and 8 seconds
Dataset: KuHar 	 Iteration: 128 	 Time of execution: 92 minutes and 14 seconds
Dataset: KuHar 	 Iteration: 129 	 Time of execution: 93 minutes and 20 seconds
Dataset: KuHar 	 Iteration: 130 	 Time of execution: 94 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 131 	 Time of execution: 95 minutes and 33 seconds
Dataset: KuHar 	 Iteration: 132 	 Time of execution: 96 minutes and 40 seconds
Dataset: KuHar 	 Iteration: 133 	 Time of execution: 97 minutes and 47 seconds
Dataset: KuHar 	 Iteration: 134 	 Time of execution: 98 minutes and 56 seconds
Dataset: KuHar 	 Iteration: 135 	 Time of execution: 100 minutes and 4 seconds
Dataset: KuHar 	 Iteration: 136 	 Time of execution: 101 minutes and 12 seconds
Dataset: KuHar 	 Iteration: 137 	 Time of execution: 102 minutes and 21 seconds
Dataset: KuHar 	 Iteration: 138 	 Time of execution: 103 minutes and 30 seconds
Dataset: KuHar 	 Iteration: 139 	 Time of execution: 104 minutes and 41 seconds
Dataset: KuHar 	 Iteration: 140 	 Time of execution: 105 minutes and 51 seconds
Dataset: KuHar 	 Iteration: 141 	 Time of execution: 107 minutes and 1 seconds
Dataset: KuHar 	 Iteration: 142 	 Time of execution: 108 minutes and 11 seconds
Dataset: KuHar 	 Iteration: 143 	 Time of execution: 109 minutes and 22 seconds
Dataset: KuHar 	 Iteration: 144 	 Time of execution: 110 minutes and 36 seconds
Dataset: KuHar 	 Iteration: 145 	 Time of execution: 111 minutes and 49 seconds
Dataset: KuHar 	 Iteration: 146 	 Time of execution: 113 minutes and 2 seconds
Dataset: KuHar 	 Iteration: 147 	 Time of execution: 114 minutes and 16 seconds
Dataset: KuHar 	 Iteration: 148 	 Time of execution: 115 minutes and 30 seconds
Dataset: KuHar 	 Iteration: 149 	 Time of execution: 116 minutes and 45 seconds
Dataset: KuHar 	 Iteration: 150 	 Time of execution: 117 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 151 	 Time of execution: 119 minutes and 15 seconds
Dataset: KuHar 	 Iteration: 152 	 Time of execution: 120 minutes and 30 seconds
Dataset: KuHar 	 Iteration: 153 	 Time of execution: 121 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 154 	 Time of execution: 123 minutes and 2 seconds
Dataset: KuHar 	 Iteration: 155 	 Time of execution: 124 minutes and 19 seconds
Dataset: KuHar 	 Iteration: 156 	 Time of execution: 125 minutes and 35 seconds
Dataset: KuHar 	 Iteration: 157 	 Time of execution: 126 minutes and 52 seconds
Dataset: KuHar 	 Iteration: 158 	 Time of execution: 128 minutes and 9 seconds
Dataset: KuHar 	 Iteration: 159 	 Time of execution: 129 minutes and 27 seconds
Dataset: KuHar 	 Iteration: 160 	 Time of execution: 130 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 161 	 Time of execution: 132 minutes and 2 seconds
Dataset: KuHar 	 Iteration: 162 	 Time of execution: 133 minutes and 19 seconds
Dataset: KuHar 	 Iteration: 163 	 Time of execution: 134 minutes and 36 seconds
Dataset: KuHar 	 Iteration: 164 	 Time of execution: 135 minutes and 54 seconds
Dataset: KuHar 	 Iteration: 165 	 Time of execution: 137 minutes and 11 seconds
Dataset: KuHar 	 Iteration: 166 	 Time of execution: 138 minutes and 28 seconds
Dataset: KuHar 	 Iteration: 167 	 Time of execution: 139 minutes and 47 seconds
Dataset: KuHar 	 Iteration: 168 	 Time of execution: 141 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 169 	 Time of execution: 142 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 170 	 Time of execution: 143 minutes and 48 seconds
Dataset: KuHar 	 Iteration: 171 	 Time of execution: 145 minutes and 10 seconds
Dataset: KuHar 	 Iteration: 172 	 Time of execution: 146 minutes and 32 seconds
Dataset: KuHar 	 Iteration: 173 	 Time of execution: 147 minutes and 54 seconds
Dataset: KuHar 	 Iteration: 174 	 Time of execution: 149 minutes and 17 seconds
Dataset: KuHar 	 Iteration: 175 	 Time of execution: 150 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 176 	 Time of execution: 152 minutes and 2 seconds
Dataset: KuHar 	 Iteration: 177 	 Time of execution: 153 minutes and 25 seconds
Dataset: KuHar 	 Iteration: 178 	 Time of execution: 154 minutes and 49 seconds
Dataset: KuHar 	 Iteration: 179 	 Time of execution: 156 minutes and 14 seconds
Dataset: KuHar 	 Iteration: 180 	 Time of execution: 157 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 181 	 Time of execution: 159 minutes and 4 seconds
Dataset: KuHar 	 Iteration: 182 	 Time of execution: 160 minutes and 28 seconds
Dataset: KuHar 	 Iteration: 183 	 Time of execution: 161 minutes and 54 seconds
Dataset: KuHar 	 Iteration: 184 	 Time of execution: 163 minutes and 19 seconds
Dataset: KuHar 	 Iteration: 185 	 Time of execution: 164 minutes and 45 seconds
Dataset: KuHar 	 Iteration: 186 	 Time of execution: 166 minutes and 12 seconds
Dataset: KuHar 	 Iteration: 187 	 Time of execution: 167 minutes and 38 seconds
Dataset: KuHar 	 Iteration: 188 	 Time of execution: 169 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 189 	 Time of execution: 170 minutes and 34 seconds
Dataset: KuHar 	 Iteration: 190 	 Time of execution: 172 minutes and 2 seconds
Dataset: KuHar 	 Iteration: 191 	 Time of execution: 173 minutes and 29 seconds
Dataset: KuHar 	 Iteration: 192 	 Time of execution: 174 minutes and 55 seconds
Dataset: KuHar 	 Iteration: 193 	 Time of execution: 176 minutes and 22 seconds
Dataset: KuHar 	 Iteration: 194 	 Time of execution: 177 minutes and 48 seconds
Dataset: KuHar 	 Iteration: 195 	 Time of execution: 179 minutes and 15 seconds
Dataset: KuHar 	 Iteration: 196 	 Time of execution: 180 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 197 	 Time of execution: 182 minutes and 16 seconds
Dataset: KuHar 	 Iteration: 198 	 Time of execution: 183 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 199 	 Time of execution: 185 minutes and 16 seconds
Dataset: KuHar 	 Iteration: 200 	 Time of execution: 186 minutes and 47 seconds
Dataset: KuHar 	 Iteration: 201 	 Time of execution: 188 minutes and 18 seconds
Dataset: KuHar 	 Iteration: 202 	 Time of execution: 189 minutes and 49 seconds
Dataset: KuHar 	 Iteration: 203 	 Time of execution: 191 minutes and 21 seconds
Dataset: KuHar 	 Iteration: 204 	 Time of execution: 192 minutes and 53 seconds
Dataset: KuHar 	 Iteration: 205 	 Time of execution: 194 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 206 	 Time of execution: 195 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 207 	 Time of execution: 197 minutes and 33 seconds
Dataset: KuHar 	 Iteration: 208 	 Time of execution: 199 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 209 	 Time of execution: 200 minutes and 40 seconds
Dataset: KuHar 	 Iteration: 210 	 Time of execution: 202 minutes and 15 seconds
Dataset: KuHar 	 Iteration: 211 	 Time of execution: 203 minutes and 49 seconds
